ЕСТ: Вызов Такси	46.228.203.32	AS myLoc managed IT AG	AS31010
ЕСТ: Вызов Такси	83.136.86.63	AS myLoc managed IT AG	AS31010
ЕСТ: Вызов Такси	178.63.15.67	AS Hetzner Online GmbH	AS24940
ЕСТ: Вызов Такси	5.9.150.148	AS Hetzner Online GmbH	AS24940
ЕСТ: Вызов Такси	84.16.232.43	Leaseweb Deutschland GmbH	AS28753
Гранд Авто + Globaxi	91.207.31.130	Skorost LLC	AS200875
Юнис-Лада	94.137.47.204	Omskie kabelnye seti Ltd.	AS47165
Юнис-Лада	81.177.139.151	JSC RTComm.RU	AS8342
Три Лимона + Три десятки + Три Девятки + Ноль Семь + Ноль Один + AutoMigTaxi	212.23.75.229	PJSC Vimpelcom	AS3253
Три Лимона + Три десятки + Три Девятки + Ноль Семь + Ноль Один + AutoMigTaxi	91.201.52.127	Internet-Pro Ltd	AS44128
Три Лимона + Три десятки + Три Девятки + Ноль Семь + Ноль Один + AutoMigTaxi	62.168.232.216	MTS PJSC	AS25086
TAXI.TT	85.192.167.193	PJSC Rostelecom	AS12389
TAXI.TT	46.101.223.226	Digital Ocean, Inc.	AS201229
Двойки	89.237.54.190	Closed Joint Stock Company TransTeleCom	AS28745
Таксолёт	193.124.45.13	Domain names registrar REG.RU, Ltd	AS197695
Таксолёт	37.140.192.81	Domain names registrar REG.RU, Ltd	AS197695
НонСтоп	91.221.86.1	NonStop-Tyumen Ltd.	AS51834
DeLuxe	81.91.57.185	MTS PJSC	AS25086
DeLuxe	195.208.1.104	Autonomous Non-commercial Organization Regional Network Information Center	AS25535
ULTAXI	95.104.194.11	MTS PJSC	AS49816
NTaxi	46.149.225.187	Magellan Telecom Kuzbass Ltd.	AS52175
Таксовичкоф	77.221.144.187	LeaseWeb Netherlands B.V.	AS60781
iTaxi + Метро + Желтое такси	178.63.209.250	Hetzner Online GmbH	AS24940
Майами	81.28.165.195	JSC AIST	AS8439
Майами	81.28.162.130	JSC AIST	AS8439
ТаксиДроид	213.138.68.242	Сlosed Joint Stock Company TransTeleCom	AS44775
Сатурн + Белое	193.150.102.5	General-Telecom Ltd.	AS57418
Сатурн + Белое	91.106.207.103	Beget Ltd	AS198610
Red Taxi	37.140.192.188	Domain names registrar REG.RU, Ltd	AS197695
Red Taxi	185.143.174.100	OOO Network of data-centers Selectel	AS49505
Браво	77.222.56.208	SpaceWeb Ltd	AS44112
Браво	80.234.37.66	PJSC Rostelecom	AS12389
Браво	83.242.249.215	MTS PJSC	AS41209
Браво	194.190.1.123	Progress-IT Ltd.	AS49316
Все Такси	31.210.213.103	KVANT-TELEKOM Closed Joint Stock Company	AS43727
Камилла	217.173.31.170	MTS PJSC	AS29194
Камилла	91.144.158.92	JSC ER-Telecom Holding	AS42116
Камилла	195.208.1.145	Autonomous Non-commercial Organization Regional Network Information Center	AS25535
2-306-306	87.229.241.110	PJSC Vimpelcom	AS3216
Август	95.78.125.166	JSC ER-Telecom Holding	AS42116
Август	77.222.42.228	SpaceWeb Ltd	AS44112
Пчёлка	77.39.57.190	PJSC Rostelecom	AS12683
Рутакси + Минимум	178.248.237.150	HLL LLC	AS197068
Рутакси + Минимум	178.248.234.100	HLL LLC	AS197068
Максим + Поехали	178.248.233.112	HLL LLC	AS197068
Максим + Поехали	178.248.237.53	HLL LLC	AS197068
Такси Восток	77.34.10.210	PJSC Rostelecom	AS12332
SamTaxi	46.0.202.140	JSC ER-Telecom Holding	AS34533
Мой Город + Элит	95.213.174.123	OOO Network of data-centers Selectel	AS49505
Мой Город + Элит	176.9.125.120	Hetzner Online GmbH	AS24940
TapTaxi	212.44.157.30	PJSC Vimpelcom	AS3216
Мотор	46.30.41.18	Webzilla B.V.	AS35415
Мотор	144.76.13.114	Hetzner Online GmbH	AS24940
Алло	217.23.84.94	JSC Volgatranstelecom	AS15974
Алло	31.28.24.113	Filanco, ltd.	AS12616
Атлас	91.201.52.139	Internet-Pro Ltd	AS44128
Атлас	109.202.6.202	Closed Joint-stock company Avantel	AS25549
Wheely	52.57.20.145	Amazon.com, Inc.	AS16509
Wheely	35.156.22.14	Amazon.com, Inc.	AS16509
Wheely	35.157.59.48	Amazon.com, Inc.	AS16509
Wheely	52.58.236.82	Amazon.com, Inc.	AS16509
Wheely	52.28.147.0	Amazon.com, Inc.	AS16509
Uber	104.36.192.132	Uber Technologies, Inc	AS63086
Uber	104.36.192.133 	Uber Technologies, Inc	AS63086
Uber	104.36.192.134 	Uber Technologies, Inc	AS63086
Uber	104.36.192.135 	Uber Technologies, Inc	AS63086
Uber	104.36.192.182 	Uber Technologies, Inc	AS63086
Uber	104.36.192.183 	Uber Technologies, Inc	AS63086
Uber	104.36.192.220	Uber Technologies, Inc	AS63086
Uber	104.36.192.221	Uber Technologies, Inc	AS63086
Uber	163.177.56.53	China Unicom Shenzen network	AS17623
Gett	107.154.137.64	INCAPSULA-NETWORK	AS19551
Gett	107.154.140.64	INCAPSULA-NETWORK	AS19551
Gett	176.58.106.102	Linode, LLC	AS63949
Gett	46.137.78.60	Amazon.com, Inc.	AS16509
Gett	52.214.34.50	Amazon.com, Inc.	AS16509
Gett	52.214.226.27	Amazon.com, Inc.	AS16509
Gett	54.247.181.83	Amazon.com, Inc.	AS16509
Gett	52.214.205.82	Amazon.com, Inc.	AS16509
Gett	52.210.45.237	Amazon.com, Inc.	AS16509
Gett	54.228.213.84	Amazon.com, Inc.	AS16509
Gett	54.246.89.104	Amazon.com, Inc.	AS16509
